main_seed,seed_data,seed_split,seed_model,coverage,q,n_cal,n_test
0,1826701614,1367864806,1097657231,0.9035269709543569,2.0401906328845385,1211,964
1,1016164991,1099128568,1621709874,0.9224652087475149,2.1288252090232507,1199,1006
2,1798679647,561807779,234731697,0.9126506024096386,1.9677238890504227,1202,996
3,1742692731,183930185,385346042,0.9045174537987679,2.0265967513798095,1208,974
4,1560023974,2025197564,1892783321,0.9159919028340081,2.001977853833193,1204,988
5,1440510675,1728730614,48647418,0.9150657229524772,2.1332882642423123,1204,989
6,955728254,1155699143,1111885934,0.8929961089494164,1.932386886154723,1192,1028
7,2029167940,1342382291,1469265225,0.9092664092664092,2.005351703772807,1190,1036
8,1545220601,702167616,503597500,0.9227600411946447,1.9417524999382891,1209,971
9,905266064,1868845934,2063827471,0.9056224899598394,1.9882022123281846,1202,996
