main_seed,seed_data,seed_split,seed_model,coverage_tmfv,coverage_scp,coverage_oracle,coverage_avg,q_tmfv,q_scp,q_oracle,q_avg,n_cal,n_test
0,0,123,0,0.9066171003717473,0.8808921933085502,0.9033457249070632,0.9079553903345725,1.788743694253375,2.1496330421007754,1.6484414006204255,1.6684811256247756,2483,6725
1,1,123,0,0.9022490077906806,0.8844627370277819,0.9141555196236955,0.9113626341320006,1.749810387967158,2.2150166777640257,1.685558086950113,1.65885842299782,2460,6803
2,2,123,0,0.903698224852071,0.8803254437869823,0.9050295857988165,0.908284023668639,1.795265146256093,2.207471964124549,1.6801893409674582,1.6518998546521486,2472,6760
3,3,123,0,0.914903129657228,0.9272727272727272,0.8973174366616989,0.9077496274217586,1.9083097229962376,2.7970322590301824,1.661849471257024,1.6426543323478455,2487,6710
4,4,123,0,0.9010632014176019,0.8842291789722386,0.9040165386887182,0.9066745422327229,1.765512128508014,2.332450647410169,1.6656144044003252,1.6307279551775946,2469,6772
5,5,123,0,0.8972032133293663,0.9018149360309432,0.9123772686700387,0.9055340672418923,1.7312930080762035,2.196285525271654,1.698598847479328,1.6296476108918097,2484,6722
6,6,123,0,0.8927101704879483,0.8972663139329806,0.8931510875955321,0.887419165196943,1.8641113771450402,2.7456499506935717,1.6384162835191494,1.628518295306406,2459,6804
7,7,123,0,0.9017444461010884,0.8765468913075891,0.9080065603101237,0.9048755032056061,1.697045769972027,1.833461060566271,1.6781636499890749,1.637351895979506,2488,6707
8,8,123,0,0.8976555455365194,0.9011121130147279,0.9009618274721972,0.8991584009618274,1.733963627625863,2.4612969889258087,1.6410131249941862,1.5727272347476673,2504,6654
9,9,123,0,0.8918678714264553,0.8868315805065916,0.8964597837357429,0.8961635313286921,1.731796287499315,2.524046461883699,1.633026945334379,1.5845611078023671,2475,6751
